IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.250.57.49,80,443,TRUE,SIN,Asia Pacific,Singapore,89,3.6
47.238.245.39,80,443,TRUE,SIN,Asia Pacific,Singapore,32,3.55
47.76.220.130,80,443,TRUE,SIN,Asia Pacific,Singapore,28,3.27
8.217.54.204,80,443,TRUE,SIN,Asia Pacific,Singapore,27,2.73
47.239.13.168,80,443,TRUE,SIN,Asia Pacific,Singapore,29,2.69
47.238.48.153,80,443,TRUE,SIN,Asia Pacific,Singapore,27,2.59
47.238.52.160,80,443,TRUE,SIN,Asia Pacific,Singapore,27,2.55
47.76.254.36,80,443,TRUE,SIN,Asia Pacific,Singapore,28,2.03
47.238.41.59,80,443,TRUE,KUL,Asia Pacific,Kuala Lumpur,28,1.15
47.76.255.235,80,443,TRUE,SIN,Asia Pacific,Singapore,30,1.11
47.76.249.116,80,443,TRUE,SIN,Asia Pacific,Singapore,27,1.04
47.238.49.85,80,443,TRUE,SIN,Asia Pacific,Singapore,28,0.97
8.217.61.176,80,443,TRUE,SIN,Asia Pacific,Singapore,30,0.92
47.250.159.36,80,443,TRUE,SIN,Asia Pacific,Singapore,85,0.77
47.238.36.250,80,443,TRUE,SIN,Asia Pacific,Singapore,26,0.61
47.238.255.53,80,443,TRUE,SIN,Asia Pacific,Singapore,25,0.42
204.110.220.2,80,443,TRUE,SEA,North America,Seattle,207,0
13.40.129.7,80,443,TRUE,LHR,Europe,London,247,0
52.209.63.185,80,443,TRUE,DUB,Europe,Dublin,249,0
35.84.181.134,80,443,TRUE,SEA,North America,Seattle,218,0
52.53.250.40,80,443,TRUE,SJC,North America,San Jose,211,0
204.110.221.163,80,443,TRUE,SEA,North America,Seattle,206,0
54.219.130.94,80,443,TRUE,SJC,North America,San Jose,211,0
67.226.222.166,80,443,TRUE,ORD,North America,Chicago,267,0
204.236.186.113,80,443,TRUE,SJC,North America,San Jose,203,0
204.110.223.180,80,443,TRUE,ORD,North America,Chicago,272,0
67.226.222.16,80,443,TRUE,ORD,North America,Chicago,278,0
67.226.223.240,80,443,TRUE,ORD,North America,Chicago,270,0
54.177.87.111,80,443,TRUE,SJC,North America,San Jose,207,0
3.101.110.90,80,443,TRUE,SJC,North America,San Jose,208,0
13.40.131.78,80,443,TRUE,LHR,Europe,London,249,0
204.110.220.74,80,443,TRUE,SEA,North America,Seattle,213,0
52.53.191.64,80,443,TRUE,SJC,North America,San Jose,204,0
13.56.139.126,80,443,TRUE,SJC,North America,San Jose,213,0
13.56.59.26,80,443,TRUE,SJC,North America,San Jose,208,0
3.97.173.206,80,443,TRUE,YUL,North America,Montréal,261,0
67.226.222.158,80,443,TRUE,ORD,North America,Chicago,279,0
35.167.93.200,80,443,TRUE,SEA,North America,Seattle,216,0
204.110.223.235,80,443,TRUE,ORD,North America,Chicago,280,0
67.226.222.137,80,443,TRUE,ORD,North America,Chicago,264,0
67.226.222.169,80,443,TRUE,ORD,North America,Chicago,262,0
