IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.174.27,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,19.78
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,31,19.53
47.243.26.83,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,19.20
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,32,18.15
8.210.48.107,2096,2096,true,HKG,Asia Pacific,Hong Kong,27,16.03
47.242.42.153,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,13.07
8.218.146.204,2095,2095,false,HKG,Asia Pacific,Hong Kong,32,12.98
47.238.6.58,2087,0,true,HKG,Asia Pacific,Hong Kong,33,12.72
47.76.225.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,12.65
47.242.155.183,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,12.58
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,12.35
47.243.18.199,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,12.24
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,30,12.21
8.210.107.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,32,11.67
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,29,11.33
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,33,11.16
8.218.11.90,2086,0,false,HKG,Asia Pacific,Hong Kong,36,11.10
47.242.252.237,2096,0,true,HKG,Asia Pacific,Hong Kong,40,10.89
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,10.85
47.243.206.150,2086,0,false,HKG,Asia Pacific,Hong Kong,37,10.78
47.76.227.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,29,10.44
8.219.174.213,2053,0,true,SIN,Asia Pacific,Singapore,102,10.07
8.210.107.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,10.06
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,9.43
47.243.169.63,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,9.30
8.217.221.165,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,9.20
47.242.79.71,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,9.15
47.236.166.131,8080,0,false,SIN,Asia Pacific,Singapore,102,9.10
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,31,8.92
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,92,8.85
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,31,8.85
8.219.49.65,8443,8443,true,SIN,Asia Pacific,Singapore,67,8.66
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,8.38
8.222.169.222,2053,2053,true,SIN,Asia Pacific,Singapore,63,8.19
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,33,8.06
8.219.6.150,2095,2095,false,SIN,Asia Pacific,Singapore,95,7.95
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,30,7.77
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,7.65
8.222.134.170,8443,8443,true,SIN,Asia Pacific,Singapore,66,7.51
8.222.150.197,2083,0,true,SIN,Asia Pacific,Singapore,63,7.46
47.242.42.153,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,7.43
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,7.40
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,33,7.23
47.242.174.27,2096,2096,true,HKG,Asia Pacific,Hong Kong,28,7.03
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,6.98
47.236.232.148,80,80,false,SIN,Asia Pacific,Singapore,107,6.78
8.219.40.37,2086,0,false,SIN,Asia Pacific,Singapore,70,6.78
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,102,6.63
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,31,6.58
8.217.251.62,2052,2052,false,HKG,Asia Pacific,Hong Kong,30,6.51
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,6.49
8.219.97.50,2096,0,true,SIN,Asia Pacific,Singapore,76,6.47
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,6.40
8.218.11.90,2052,2052,false,HKG,Asia Pacific,Hong Kong,31,6.39
47.236.237.90,2082,2082,false,SIN,Asia Pacific,Singapore,104,6.32
8.210.156.6,2087,0,true,HKG,Asia Pacific,Hong Kong,49,6.30
47.242.119.104,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,6.23
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,6.23
8.219.93.5,2095,0,false,SIN,Asia Pacific,Singapore,69,6.21
8.219.111.175,2053,0,true,SIN,Asia Pacific,Singapore,67,6.20
8.218.2.181,8080,8080,false,HKG,Asia Pacific,Hong Kong,29,6.03
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,5.92
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,72,5.84
47.76.77.103,2086,2086,false,HKG,Asia Pacific,Hong Kong,27,5.76
8.210.63.130,2096,2096,true,HKG,Asia Pacific,Hong Kong,33,5.75
8.217.147.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,5.74
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,110,5.72
8.218.2.181,8880,8880,false,HKG,Asia Pacific,Hong Kong,32,5.70
8.217.159.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,5.61
47.76.77.103,2096,2096,true,HKG,Asia Pacific,Hong Kong,29,5.61
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,27,5.58
8.217.66.3,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,5.53
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,28,5.41
8.222.169.222,2083,2083,true,SIN,Asia Pacific,Singapore,88,5.17
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,31,5.14
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,68,5.07
8.218.53.110,2086,2086,false,HKG,Asia Pacific,Hong Kong,29,5.06
8.219.97.50,8880,8880,false,SIN,Asia Pacific,Singapore,70,5.05
8.218.222.36,2052,2052,false,HKG,Asia Pacific,Hong Kong,31,5.05
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,60,5.03
8.222.169.222,2087,2087,true,SIN,Asia Pacific,Singapore,61,5.00
8.219.78.188,2082,0,false,SIN,Asia Pacific,Singapore,71,4.97
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,110,4.83
8.222.244.192,2095,2095,false,SIN,Asia Pacific,Singapore,86,4.81
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,105,4.77
8.219.1.92,2083,0,true,SIN,Asia Pacific,Singapore,85,4.74
8.222.162.45,2052,0,false,SIN,Asia Pacific,Singapore,78,4.67
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,34,4.66
8.218.18.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,4.66
47.242.176.237,80,80,false,HKG,Asia Pacific,Hong Kong,27,4.66
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,4.60
47.243.74.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,31,4.52
8.222.181.117,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.51
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,77,4.49
8.219.248.47,2095,2095,false,SIN,Asia Pacific,Singapore,102,4.48
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,27,4.46
47.238.43.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,4.45
8.222.181.117,2053,2053,true,SIN,Asia Pacific,Singapore,70,4.42
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,60,4.41
8.210.192.93,80,80,false,HKG,Asia Pacific,Hong Kong,37,4.36
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,68,4.33
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,64,4.30
8.222.136.247,2095,2095,false,SIN,Asia Pacific,Singapore,71,4.28
8.219.11.158,2053,2053,true,SIN,Asia Pacific,Singapore,64,4.26
8.222.146.222,2087,2087,true,SIN,Asia Pacific,Singapore,62,4.23
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,102,4.19
47.242.202.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,28,4.19
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,74,4.06
8.210.43.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,3.99
8.218.53.110,8880,8880,false,HKG,Asia Pacific,Hong Kong,28,3.93
47.236.164.215,2087,0,true,SIN,Asia Pacific,Singapore,120,3.93
47.238.0.114,2096,2096,true,HKG,Asia Pacific,Hong Kong,32,3.93
8.219.120.87,2087,0,true,SIN,Asia Pacific,Singapore,65,3.92
8.210.175.109,2083,0,true,HKG,Asia Pacific,Hong Kong,31,3.84
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,70,3.82
47.243.74.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,3.79
47.243.42.219,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,3.75
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,3.75
8.222.181.117,8080,8080,false,SIN,Asia Pacific,Singapore,64,3.74
8.222.244.192,8080,8080,false,SIN,Asia Pacific,Singapore,66,3.67
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,106,3.63
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,116,3.58
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,45,3.55
8.210.42.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,3.53
47.236.167.231,2052,2052,false,SIN,Asia Pacific,Singapore,105,3.52
8.219.177.205,2095,2095,false,SIN,Asia Pacific,Singapore,101,3.51
