IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,33,15.59
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,86,15.51
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,31,15.26
47.76.33.40,8080,0,false,HKG,Asia Pacific,Hong Kong,43,15.20
47.242.54.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,15.12
8.210.146.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,29,15.10
8.210.42.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,15.03
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,15.01
8.218.126.53,8080,8080,false,HKG,Asia Pacific,Hong Kong,32,15.01
8.218.142.253,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,14.99
47.243.5.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,14.99
8.210.65.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,14.97
43.154.96.33,80,80,false,HKG,Asia Pacific,Hong Kong,35,14.91
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,14.91
47.238.43.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,14.91
8.218.228.152,2096,2096,true,HKG,Asia Pacific,Hong Kong,32,14.88
8.218.8.142,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,14.74
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,39,14.51
47.243.26.83,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,14.46
8.218.53.110,2052,2052,false,HKG,Asia Pacific,Hong Kong,30,14.43
47.76.37.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,31,14.42
8.218.243.95,2086,2086,false,HKG,Asia Pacific,Hong Kong,31,14.40
47.243.90.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,14.39
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,29,14.36
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,32,14.35
8.217.121.207,2082,2082,false,HKG,Asia Pacific,Hong Kong,31,14.34
8.210.175.109,2086,2086,false,HKG,Asia Pacific,Hong Kong,32,14.27
47.242.174.27,80,80,false,HKG,Asia Pacific,Hong Kong,33,14.22
47.243.42.219,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,14.19
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,14.14
8.210.3.24,8443,0,true,HKG,Asia Pacific,Hong Kong,43,14.10
47.242.7.162,2096,2096,true,HKG,Asia Pacific,Hong Kong,33,14.06
8.210.174.156,8080,0,false,HKG,Asia Pacific,Hong Kong,35,13.93
47.242.171.94,2083,2083,true,HKG,Asia Pacific,Hong Kong,30,13.87
8.210.107.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,13.85
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,32,13.83
8.217.207.60,8880,8880,false,HKG,Asia Pacific,Hong Kong,67,13.63
47.242.17.250,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,13.62
8.210.101.157,2096,0,true,HKG,Asia Pacific,Hong Kong,35,13.62
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,27,13.60
8.210.164.75,2083,2083,true,HKG,Asia Pacific,Hong Kong,30,13.59
8.210.107.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,13.57
47.243.18.199,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,13.52
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,13.52
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,32,13.39
8.217.145.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,13.33
47.238.0.114,2087,2087,true,HKG,Asia Pacific,Hong Kong,31,13.30
8.210.245.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,13.28
8.210.89.245,2083,2083,true,HKG,Asia Pacific,Hong Kong,30,13.25
8.218.207.169,2052,2052,false,HKG,Asia Pacific,Hong Kong,31,13.22
8.217.248.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,13.20
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,38,13.18
8.218.1.163,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,13.17
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,13.14
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,13.09
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,13.07
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,13.05
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,13.03
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,29,12.99
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,12.92
8.210.63.130,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,12.90
8.210.156.6,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,12.90
8.210.107.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,12.86
8.217.91.121,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,12.80
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,12.79
8.210.119.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,12.74
8.217.232.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,12.66
47.243.27.217,8880,8880,false,HKG,Asia Pacific,Hong Kong,31,12.56
47.76.37.57,2095,2095,false,HKG,Asia Pacific,Hong Kong,32,12.55
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,12.54
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,12.51
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,29,12.50
8.217.232.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,12.50
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,12.40
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,30,12.39
47.243.243.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,33,12.38
8.217.248.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,12.37
47.76.233.67,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,12.32
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,12.31
8.218.18.132,2082,2082,false,HKG,Asia Pacific,Hong Kong,28,12.19
47.243.243.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,12.19
47.76.29.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,12.14
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,12.11
47.242.107.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,33,12.09
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,12.06
8.210.175.109,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,12.01
8.210.245.224,80,80,false,HKG,Asia Pacific,Hong Kong,35,11.97
8.218.143.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,29,11.97
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,28,11.81
47.242.171.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,11.77
47.243.107.148,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,11.76
8.217.248.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,11.70
8.210.9.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,11.70
8.210.43.213,2087,2087,true,HKG,Asia Pacific,Hong Kong,35,11.60
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,11.49
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,11.44
47.76.146.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,11.39
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,30,11.28
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,30,11.25
8.210.101.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,11.23
47.243.186.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,11.18
8.218.65.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,31,11.11
8.217.248.220,80,80,false,HKG,Asia Pacific,Hong Kong,30,11.04
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,52,11.01
47.76.214.139,2053,2053,true,HKG,Asia Pacific,Hong Kong,27,10.97
8.210.164.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,10.96
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,31,10.96
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,10.94
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,10.93
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,30,10.91
47.76.98.98,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,10.73
8.217.72.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,10.61
8.217.121.207,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,10.53
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,10.40
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,10.39
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,10.36
47.243.60.150,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,10.29
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,10.20
8.210.66.190,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,10.09
8.210.245.224,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,10.04
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,29,10.00
47.242.59.216,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,9.97
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,9.96
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,9.94
8.210.156.6,8443,8443,true,HKG,Asia Pacific,Hong Kong,32,9.92
8.210.175.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,9.89
47.243.74.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,30,9.75
47.243.203.119,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,9.69
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,9.68
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,32,9.67
47.76.227.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,33,9.64
47.76.233.67,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,9.64
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,31,9.63
47.242.171.94,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,9.60
8.210.48.107,2083,2083,true,HKG,Asia Pacific,Hong Kong,27,9.44
47.243.90.180,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,9.33
8.210.34.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,9.21
47.76.204.76,2082,2082,false,HKG,Asia Pacific,Hong Kong,29,9.07
8.210.244.38,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,8.96
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,8.92
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,8.60
47.243.90.180,80,80,false,HKG,Asia Pacific,Hong Kong,35,8.44
47.243.51.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,8.36
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,28,8.27
8.218.18.132,2086,2086,false,HKG,Asia Pacific,Hong Kong,32,8.18
8.217.164.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,8.15
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,8.15
47.76.77.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,8.13
8.210.39.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,7.62
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,31,7.60
47.243.203.119,2082,2082,false,HKG,Asia Pacific,Hong Kong,33,7.60
8.217.127.73,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,7.59
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,7.40
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,7.32
47.76.214.139,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,7.20
8.210.39.96,80,80,false,HKG,Asia Pacific,Hong Kong,47,7.10
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,6.58
47.243.51.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,6.33
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,129,6.30
8.217.85.14,80,80,false,HKG,Asia Pacific,Hong Kong,33,6.00
154.12.178.87,14392,443,true,HKG,Asia Pacific,Hong Kong,59,5.80
8.218.201.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,27,5.80
8.218.122.55,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,5.50
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,5.30
47.76.204.76,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,4.98
47.76.192.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,32,4.72
47.243.74.220,8443,0,true,HKG,Asia Pacific,Hong Kong,43,4.43
47.76.213.245,2083,0,true,HKG,Asia Pacific,Hong Kong,40,4.42
8.217.232.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,4.29
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.17
8.218.204.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,105,3.97
8.218.3.12,8880,8880,false,HKG,Asia Pacific,Hong Kong,29,3.86
8.218.3.12,2086,2086,false,HKG,Asia Pacific,Hong Kong,30,3.70
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,32,3.69
47.76.75.28,443,443,true,HKG,Asia Pacific,Hong Kong,28,3.64
47.76.94.15,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,3.55
8.210.39.96,2087,0,true,HKG,Asia Pacific,Hong Kong,39,3.48
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,28,3.22
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,31,3.06
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,30,2.49
47.242.176.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,28,2.46
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,34,2.41
8.217.127.73,80,80,false,HKG,Asia Pacific,Hong Kong,31,2.26
