IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.208.38,80,80,false,SIN,Asia Pacific,Singapore,59,11.33
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,61,11.20
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,103,11.20
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,263,11.18
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,108,11.18
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,64,11.10
8.222.165.117,8080,8080,false,SIN,Asia Pacific,Singapore,67,11.06
8.222.136.247,2082,2082,false,SIN,Asia Pacific,Singapore,71,11.03
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,131,11.03
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,103,10.99
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,60,10.94
8.219.11.158,2082,2082,false,SIN,Asia Pacific,Singapore,65,10.92
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,115,10.91
8.222.165.117,2083,2083,true,SIN,Asia Pacific,Singapore,67,10.91
8.222.183.242,8080,8080,false,SIN,Asia Pacific,Singapore,69,10.89
8.219.220.88,2095,2095,false,SIN,Asia Pacific,Singapore,108,10.87
47.236.171.205,2086,0,false,SIN,Asia Pacific,Singapore,103,10.86
8.219.104.37,80,80,false,SIN,Asia Pacific,Singapore,60,10.85
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,70,10.82
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,104,10.77
8.222.150.197,8880,8880,false,SIN,Asia Pacific,Singapore,69,10.76
8.219.49.65,2086,2086,false,SIN,Asia Pacific,Singapore,68,10.75
8.219.83.201,2082,2082,false,SIN,Asia Pacific,Singapore,64,10.70
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,63,10.61
8.219.49.65,2096,0,true,SIN,Asia Pacific,Singapore,70,10.61
8.222.187.4,8880,8880,false,SIN,Asia Pacific,Singapore,63,10.58
8.222.169.222,8880,8880,false,SIN,Asia Pacific,Singapore,73,10.54
8.219.114.201,2082,2082,false,SIN,Asia Pacific,Singapore,63,10.51
8.219.11.158,8880,8880,false,SIN,Asia Pacific,Singapore,67,10.51
8.219.99.169,8880,8880,false,SIN,Asia Pacific,Singapore,159,10.51
8.219.111.175,2053,2053,true,SIN,Asia Pacific,Singapore,73,10.49
